Time, Team 1, Score 1, Team 2, Score 2, Team 3, Score 3, Team 4, Score 4, Team 5, Score 5, Team 6, Score 6;
Wed Feb 10 2016 22:57:27, The Young and the Rest of Us, 223.1, Unbeatable Unicorns, 188.4, HASFAL, 130.7, S.M.A.R.T@ DE, 85.5, London Pride, 76.7, Rogue Nation, 50.6,;
Thu Feb 11 2016 12:04:50, Unbeatable Unicorns, 359.3, The Young and the Rest of Us, 331.0, HASFAL, 219.4, S.M.A.R.T@ DE, 161.5, London Pride, 133.5, Rogue Nation, 100.3; 
Thu Feb 11 2016 13:05:43, Unbeatable Unicorns, 359.3, The Young and the Rest of Us, 331.0, HASFAL, 234.8, S.M.A.R.T@ DE, 161.5, London Pride, 133.5, Rogue Nation, 100.3; 
Thu Feb 11 2016 14:22:12, The Young and the Rest of Us, 447.1, Unbeatable Unicorns, 365.4, HASFAL, 248.6, S.M.A.R.T@ DE, 161.5, London Pride, 133.5, Rogue Nation, 100.3; 
Thu Feb 11 2016 17:23:26, The Young and the Rest of Us, 524.6, Unbeatable Unicorns, 443.4, HASFAL, 279.4, S.M.A.R.T@ DE, 167.5, London Pride, 142.6, Rogue Nation, 125.0; 
Thu Feb 11 2016 19:24:26, The Young and the Rest of Us, 539.6, Unbeatable Unicorns, 513.8, HASFAL, 317.6, S.M.A.R.T@ DE, 167.5, London Pride, 142.6, Rogue Nation, 125.0; 
Thu Feb 11 2016 20:24:57, The Young and the Rest of Us, 556.8, Unbeatable Unicorns, 505.9, HASFAL, 332.5, S.M.A.R.T@ DE, 169.9, London Pride, 159.1, Rogue Nation, 154.8; 
Thu Feb 11 2016 21:25:14, The Young and the Rest of Us, 563.0, Unbeatable Unicorns, 535.3, HASFAL, 334.5, S.M.A.R.T@ DE, 169.9, London Pride, 159.1, Rogue Nation, 157.5; 
Thu Feb 11 2016 22:25:28, The Young and the Rest of Us, 563.0, Unbeatable Unicorns, 558.1, HASFAL, 366.6, S.M.A.R.T@ DE, 169.9, London Pride, 159.1, Rogue Nation, 157.5; 
Thu Feb 11 2016 23:31:59, The Young and the Rest of Us, 564.2, Unbeatable Unicorns, 558.3, HASFAL, 376.7, S.M.A.R.T@ DE, 170.3, London Pride, 162.6, Rogue Nation, 157.5; 
Fri Feb 12 2016 00:32:11, Unbeatable Unicorns, 600.6, The Young and the Rest of Us, 592.4, HASFAL, 381.6, London Pride, 181.6, S.M.A.R.T@ DE, 170.6, Rogue Nation, 158.0; 
Fri Feb 12 2016 04:33:22, Unbeatable Unicorns, 675.1, The Young and the Rest of Us, 638.4, HASFAL, 388.5, London Pride, 191.2, S.M.A.R.T@ DE, 173.4, Rogue Nation, 169.6; 
Fri Feb 12 2016 12:35:16, Unbeatable Unicorns, 691.7, The Young and the Rest of Us, 688.1, HASFAL, 568.2, S.M.A.R.T@ DE, 312.0, London Pride, 245.1, Rogue Nation, 170.4; 
Fri Feb 12 2016 13:35:31, The Young and the Rest of Us, 746.2, Unbeatable Unicorns, 691.7, HASFAL, 568.3, S.M.A.R.T@ DE, 312.0, London Pride, 268.9, Rogue Nation, 170.4; 
Fri Feb 12 2016 14:35:48, The Young and the Rest of Us, 977.7, Unbeatable Unicorns, 742.7, HASFAL, 568.3, S.M.A.R.T@ DE, 312.0, London Pride, 268.9, Rogue Nation, 170.4;
Fri Feb 12 2016 15:36:41, The Young and the Rest of Us, 1,056.9, Unbeatable Unicorns, 780.6, HASFAL, 585.3, S.M.A.R.T@ DE, 313.0, London Pride, 297.9, Rogue Nation, 169.9;
Fri Feb 12 2016 16:37:02, The Young and the Rest of Us, 1,071.4, Unbeatable Unicorns, 792.8, HASFAL, 590.0, S.M.A.R.T@ DE, 313.0, London Pride, 312.6, Rogue Nation, 171.4;
Fri Feb 12 2016 18:37:36, The Young and the Rest of Us, 1,074.2, Unbeatable Unicorns, 823.2, HASFAL, 590.0, S.M.A.R.T@ DE, 313.0, London Pride, 312.6, Rogue Nation, 171.4;
Fri Feb 12 2016 19:38:41, The Young and the Rest of Us, 1,130.3, Unbeatable Unicorns, 837.6, HASFAL, 620.1, London Pride, 327.6, S.M.A.R.T@ DE, 314.9, Rogue Nation, 193.9;
Fri Feb 12 2016 20:39:00, The Young and the Rest of Us, 1,136.4, Unbeatable Unicorns, 861.9, HASFAL, 620.1, London Pride, 327.6, S.M.A.R.T@ DE, 314.9, Rogue Nation, 193.9;
Fri Feb 12 2016 21:39:17, The Young and the Rest of Us, 1,136.4, Unbeatable Unicorns, 862.5, HASFAL, 650.9, London Pride, 327.6, S.M.A.R.T@ DE, 314.9, Rogue Nation, 193.9;
Fri Feb 12 2016 22:39:32, The Young and the Rest of Us, 1,161.4, Unbeatable Unicorns, 862.5, HASFAL, 665.6, London Pride, 327.6, S.M.A.R.T@ DE, 314.9, Rogue Nation, 193.9;
Fri Feb 12 2016 23:39:46, The Young and the Rest of Us, 1,199.6, Unbeatable Unicorns, 883.2, HASFAL, 675.3, London Pride, 373.8, S.M.A.R.T@ DE, 316.8, Rogue Nation, 222.1;
Sat Feb 13 2016 00:39:56, The Young and the Rest of Us, 1,199.6, Unbeatable Unicorns, 883.2, HASFAL, 675.3, London Pride, 373.8, S.M.A.R.T@ DE, 316.8, Rogue Nation, 222.1;
Sat Feb 13 2016 14:43:38, The Young and the Rest of Us, 1,249.3, Unbeatable Unicorns, 998.5, HASFAL, 765.3, London Pride, 390.6, S.M.A.R.T@ DE, 317.8, Rogue Nation, 246.6;
Sat Feb 13 2016 17:44:33, The Young and the Rest of Us, 1,304.9, Unbeatable Unicorns, 1,006.3, HASFAL, 789.0, London Pride, 410.2, S.M.A.R.T@ DE, 318.3, Rogue Nation, 252.6;
Sat Feb 13 2016 18:44:47, The Young and the Rest of Us, 1,304.9, Unbeatable Unicorns, 1,006.3, HASFAL, 789.0, London Pride, 410.2, S.M.A.R.T@ DE, 318.3, Rogue Nation, 252.6;
Sat Feb 13 2016 20:45:18, The Young and the Rest of Us, 1,349.6, Unbeatable Unicorns, 1,065.2, HASFAL, 824.5, London Pride, 424.6, S.M.A.R.T@ DE, 318.3, Rogue Nation, 287.2;
Sat Feb 13 2016 22:45:44, The Young and the Rest of Us, 1,372.6, Unbeatable Unicorns, 1,065.2, HASFAL, 850.2, London Pride, 424.6, S.M.A.R.T@ DE, 318.3, Rogue Nation, 287.2;
Sat Feb 13 2016 23:46:01, The Young and the Rest of Us, 1,432.8, Unbeatable Unicorns, 1,099.9, HASFAL, 909.1, London Pride, 428.6, S.M.A.R.T@ DE, 318.3, Rogue Nation, 316.1;
Sun Feb 14 2016 13:50:37, The Young and the Rest of Us, 1,538.3, Unbeatable Unicorns, 1,257.0, HASFAL, 960.4, London Pride, 430.8, Rogue Nation, 337.3, S.M.A.R.T@ DE, 318.4;
Sun Feb 14 2016 16:51:42, The Young and the Rest of Us, 1,552.1, Unbeatable Unicorns, 1,317.8, HASFAL, 1,003.1, London Pride, 489.8, Rogue Nation, 343.5, S.M.A.R.T@ DE, 318.8;
Sun Feb 14 2016 17:52:00 GMT, The Young and the Rest of Us, 1,552.1, Unbeatable Unicorns, 1,317.8, HASFAL, 1,003.1, London Pride, 489.8, Rogue Nation, 343.5, S.M.A.R.T@ DE, 318.8;
Sun Feb 14 2016 23:54:57 GMT, The Young and the Rest of Us, 1,716.0, Unbeatable Unicorns, 1,423.0, HASFAL, 1,153.4, London Pride, 576.4, Rogue Nation, 407.4, S.M.A.R.T@ DE, 322.7;
Mon Feb 15 2016 13:11:44 GMT, The Young and the Rest of Us, 1,745.3, Unbeatable Unicorns, 1,592.6, HASFAL, 1,225.5, London Pride, 596.6, S.M.A.R.T@ DE, 434.4, Rogue Nation, 432.7;
Mon Feb 15 2016 14:12:13 GMT, The Young and the Rest of Us, 1,745.3, Unbeatable Unicorns, 1,592.6, HASFAL, 1,225.5, London Pride, 596.6, S.M.A.R.T@ DE, 434.4, Rogue Nation, 432.7;
Mon Feb 15 2016 15:12:34 GMT, The Young and the Rest of Us, 1,745.3, Unbeatable Unicorns, 1,592.6, HASFAL, 1,225.5, London Pride, 596.6, Rogue Nation, 489.4, S.M.A.R.T@ DE, 475.2;
Mon Feb 15 2016 16:12:48 GMT, The Young and the Rest of Us, 1,766.4, Unbeatable Unicorns, 1,611.7, HASFAL, 1,239.7, London Pride, 625.6, S.M.A.R.T@ DE, 529.0, Rogue Nation, 497.1;
Mon Feb 15 2016 18:14:53 GMT, The Young and the Rest of Us, 1,782.0, Unbeatable Unicorns, 1,646.3, HASFAL, 1,239.7, London Pride, 625.6, S.M.A.R.T@ DE, 539.5, Rogue Nation, 497.1;
Mon Feb 15 2016 18:14:53 GMT, The Young and the Rest of Us, 1,782.0, Unbeatable Unicorns, 1,646.3, HASFAL, 1,239.7, London Pride, 625.6, S.M.A.R.T@ DE, 539.5, Rogue Nation, 497.1;
Mon Feb 15 2016 20:15:35 GMT, The Young and the Rest of Us, 1,831.1, Unbeatable Unicorns, 1,668.8, HASFAL, 1,288.5, London Pride, 630.4, S.M.A.R.T@ DE, 543.5, Rogue Nation, 521.8;
Tue Feb 16 2016 00:17:06 GMT, The Young and the Rest of Us, 1,964.1, Unbeatable Unicorns, 1,786.1, HASFAL, 1,375.2, London Pride, 655.8, S.M.A.R.T@ DE, 555.3, Rogue Nation, 542.6;
Tue Feb 16 2016 02:17:37 GMT, The Young and the Rest of Us, 1,964.1, Unbeatable Unicorns, 1,786.1, HASFAL, 1,375.2, London Pride, 655.8, S.M.A.R.T@ DE, 555.3, Rogue Nation, 542.6;
Tue Feb 16 2016 12:24:43 GMT, The Young and the Rest of Us, 1,996.2, Unbeatable Unicorns, 1,839.7, HASFAL, 1,503.8, London Pride, 730.6, S.M.A.R.T@ DE, 590.2, Rogue Nation, 569.9;
Tue Feb 16 2016 13:25:05 GMT, The Young and the Rest of Us, 2,043.1, Unbeatable Unicorns, 1,872.3, HASFAL, 1,503.8, London Pride, 730.6, S.M.A.R.T@ DE, 590.2, Rogue Nation, 569.9;
Tue Feb 16 2016 13:25:05 GMT, The Young and the Rest of Us, 2,043.1, Unbeatable Unicorns, 1,872.3, HASFAL, 1,503.8, London Pride, 730.6, S.M.A.R.T@ DE, 590.2, Rogue Nation, 569.9;
Tue Feb 16 2016 14:25:26 GMT, The Young and the Rest of Us, 2,399.9, Unbeatable Unicorns, 1,934.8, HASFAL, 1,512.8, London Pride, 730.6, S.M.A.R.T@ DE, 590.2, Rogue Nation, 569.9;
Tue Feb 16 2016 14:25:26 GMT, The Young and the Rest of Us, 2,399.9, Unbeatable Unicorns, 1,934.8, HASFAL, 1,512.8, London Pride, 730.6, S.M.A.R.T@ DE, 590.2, Rogue Nation, 569.9;
Tue Feb 16 2016 14:25:26 GMT, The Young and the Rest of Us, 2,399.9, Unbeatable Unicorns, 1,934.8, HASFAL, 1,512.8, London Pride, 730.6, S.M.A.R.T@ DE, 590.2, Rogue Nation, 569.9;
Tue Feb 16 2016 14:25:26 GMT, The Young and the Rest of Us, 2,399.9, Unbeatable Unicorns, 1,934.8, HASFAL, 1,512.8, London Pride, 730.6, S.M.A.R.T@ DE, 590.2, Rogue Nation, 569.9;
Tue Feb 16 2016 16:41:31 GMT, The Young and the Rest of Us, 2,467.5, Unbeatable Unicorns, 2,071.3, HASFAL, 1,456.5, London Pride, 760.6, S.M.A.R.T@ DE, 597.5, Rogue Nation, 589.1;
Tue Feb 16 2016 16:41:31 GMT, The Young and the Rest of Us, 2,467.5, Unbeatable Unicorns, 2,071.3, HASFAL, 1,456.5, London Pride, 760.6, S.M.A.R.T@ DE, 597.5, Rogue Nation, 589.1;
Tue Feb 16 2016 18:42:45 GMT, The Young and the Rest of Us, 2,469.1, Unbeatable Unicorns, 2,099.6, HASFAL, 1,457.0, London Pride, 760.6, Rogue Nation, 600.8, S.M.A.R.T@ DE, 597.5;
Tue Feb 16 2016 18:42:45 GMT, The Young and the Rest of Us, 2,469.1, Unbeatable Unicorns, 2,099.6, HASFAL, 1,457.0, London Pride, 760.6, Rogue Nation, 600.8, S.M.A.R.T@ DE, 597.5;
Tue Feb 16 2016 20:44:18 GMT, The Young and the Rest of Us, 2,501.7, Unbeatable Unicorns, 2,143.9, HASFAL, 1,490.4, London Pride, 790.6, S.M.A.R.T@ DE, 614.6, Rogue Nation, 613.3;
Tue Feb 16 2016 23:46:04 GMT, The Young and the Rest of Us, 2,548.6, Unbeatable Unicorns, 2,161.8, HASFAL, 1,555.6, London Pride, 811.1, Rogue Nation, 643.1, S.M.A.R.T@ DE, 617.2;
Wed Feb 17 2016 00:46:22 GMT, The Young and the Rest of Us, 2,548.6, Unbeatable Unicorns, 2,161.8, HASFAL, 1,555.6, London Pride, 811.1, Rogue Nation, 643.1, S.M.A.R.T@ DE, 617.2;
Wed Feb 17 2016 02:47:07 GMT, The Young and the Rest of Us, 2,548.6, Unbeatable Unicorns, 2,168.0, HASFAL, 1,555.6, London Pride, 811.1, Rogue Nation, 643.1, S.M.A.R.T@ DE, 617.2;
Wed Feb 17 2016 12:50:07 GMT, The Young and the Rest of Us, 2,617.6, Unbeatable Unicorns, 2,217.3, HASFAL, 1,676.8, London Pride, 861.4, S.M.A.R.T@ DE, 701.7, Rogue Nation, 676.5;
Wed Feb 17 2016 14:52:54 GMT, The Young and the Rest of Us, 2,846.8, Unbeatable Unicorns, 2,289.3, HASFAL, 1,696.2, London Pride, 861.4, S.M.A.R.T@ DE, 701.7, Rogue Nation, 676.5;
